They O
were O
followed O
until O
they O
finished O
primary O
treatment O
( O
enrollment O
) O
, O
at O
which O
time O
they O
completed O
a O
mailed O
baseline O
survey O
that O
included O
standardized O
measures O
of O
quality O
of O
life O
( O
including O
standardized O
scales O
of O
physical O
and O
emotional O
functioning O
) O
, O
mood O
, O
symptoms O
, O
and O
sexual O
functioning O
. O

The O
European O
Organisation O
for O
Research O
and O
Treatment O
of O
Cancer O
Quality O
of O
Life O
Questionnaire O
C30 O
( O
EORTC O
QLQ-C30 O
) O
and O
the O
gastric O
module O
STO22 O
were O
administered O
every O
8 O
weeks O
until O
progression O
. O

L-T4 O
was O
initiated O
in O
both O
groups O
after O
thyroidectomy O
. O

Neither B-Claim
FU24h I-Claim
+ I-Claim
LV I-Claim
nor I-Claim
FU24h I-Claim
prolong I-Claim
survival I-Claim
, I-Claim
relative I-Claim
to I-Claim
bolus I-Claim
FU I-Claim
+ I-Claim
LV I-Claim
. I-Claim

There B-Premise
were I-Premise
no I-Premise
differences I-Premise
in I-Premise
the I-Premise
anorectal I-Premise
manometry I-Premise
and I-Premise
endoanal I-Premise
ultrasound I-Premise
findings I-Premise
. I-Premise

Overall B-Premise
survival I-Premise
was I-Premise
longer I-Premise
with I-Premise
DCF I-Premise
versus I-Premise
CF I-Premise
( I-Premise
23 I-Premise
% I-Premise
risk I-Premise
reduction I-Premise
";" I-Premise
log-rank I-Premise
P I-Premise
= I-Premise
.02 I-Premise
) I-Premise
. I-Premise

Future B-Claim
trials I-Claim
involving I-Claim
larger I-Claim
sample I-Claim
sizes I-Claim
are I-Claim
required I-Claim
to I-Claim
expand I-Claim
these I-Claim
preliminary I-Claim
findings I-Claim
. I-Claim

These O
patients O
were O
assigned O
to O
the O
two O
arms O
to O
assess O
the O
value O
of O
low-dose O
CDDP O
when O
added O
to O
a O
continuous O
intravenous O
infusion O
of O
5-FU O
at O
a O
dose O
of O
300 O
mg/m O
( O
2 O
) O
/24 O
hrs O
in O
a O
one-week O
cycle O
consisting O
of O
5 O
days O
of O
treatment O
and O
2 O
days O
of O
rest O
for O
at O
least O
12 O
weeks O
. O

Chemotherapy B-Claim
is I-Claim
moderately I-Claim
efficient I-Claim
as I-Claim
a I-Claim
treatment I-Claim
for I-Claim
pancreatic I-Claim
adenocarcinoma I-Claim
, I-Claim
but B-Claim
patient I-Claim
survival I-Claim
and I-Claim
quality I-Claim
of I-Claim
life I-Claim
has I-Claim
improved I-Claim
with I-Claim
this I-Claim
modality I-Claim
in I-Claim
some I-Claim
trials I-Claim
. I-Claim

Secondary B-Premise
analyses I-Premise
found I-Premise
that I-Premise
differences I-Premise
in I-Premise
favor I-Premise
of I-Premise
the I-Premise
experimental I-Premise
group I-Premise
occurred I-Premise
in I-Premise
patients I-Premise
with I-Premise
stomach I-Premise
, I-Premise
pancreatic I-Premise
, I-Premise
primary I-Premise
liver I-Premise
, I-Premise
or I-Premise
colorectal I-Premise
cancer I-Premise
. I-Premise

There B-Premise
was I-Premise
no I-Premise
difference I-Premise
in I-Premise
the I-Premise
cumulative I-Premise
survival I-Premise
. I-Premise

From O
January O
2002 O
to O
February O
2004 O
, O
102 O
patients O
who O
had O
undergone O
RP O
for O
localized O
or O
locally O
advanced O
prostate O
cancer O
were O
recruited O
and O
randomized O
into O
3 O
groups O
, O
namely O
group O
1-those O
receiving O
only O
150 O
mg O
bicalutamide O
as O
adjuvant O
hormonal O
therapy O
, O
group O
2-those O
receiving O
bicalutamide O
and O
10 O
mg O
tamoxifen O
, O
and O
group O
3-those O
receiving O
bicalutamide O
and O
RT O
. O

Treatment-related B-Premise
mortality I-Premise
occurred I-Premise
in I-Premise
five I-Premise
patients I-Premise
( I-Premise
5.3 I-Premise
% I-Premise
) I-Premise
receiving I-Premise
irinotecan I-Premise
weekly I-Premise
and I-Premise
three I-Premise
patients I-Premise
( I-Premise
1.6 I-Premise
% I-Premise
) I-Premise
given I-Premise
therapy I-Premise
once I-Premise
every I-Premise
3 I-Premise
weeks I-Premise
( I-Premise
P I-Premise
=.12 I-Premise
) I-Premise
. I-Premise

Advanced O
gastric O
cancer O
patients O
were O
randomly O
assigned O
to O
docetaxel O
75 O
mg/m2 O
and O
cisplatin O
75 O
mg/m2 O
( O
day O
1 O
) O
plus O
fluorouracil O
750 O
mg/m2/d O
( O
days O
1 O
to O
5 O
) O
every O
3 O
weeks O
or O
cisplatin O
100 O
mg/m2 O
( O
day O
1 O
) O
plus O
fluorouracil O
1,000 O
mg/m2/d O
( O
days O
1 O
to O
5 O
) O
every O
4 O
weeks O
. O

Treosulfan O
, O
an O
alkylating O
agent O
, O
has O
demonstrated O
activity O
in O
recurrent O
ovarian O
carcinoma O
. O

This O
study O
is O
the O
first O
large O
prospective O
RCT O
of O
sentinel O
node O
biopsy O
( O
SNB O
) O
compared O
with O
standard O
axillary O
treatment O
( O
level O
I-III O
axillary O
lymph O
node O
dissection O
or O
four O
node O
sampling O
) O
, O
which O
includes O
comprehensive O
and O
repeated O
quality O
of O
life O
( O
QOL O
) O
assessments O
over O
18 O
months O
. O

Overall B-Premise
( I-Premise
FACT-G I-Premise
) I-Premise
scores I-Premise
did I-Premise
not I-Premise
differ I-Premise
significantly I-Premise
between I-Premise
arms I-Premise
at I-Premise
the I-Premise
fourth I-Premise
assessment I-Premise
( I-Premise
C I-Premise
= I-Premise
70.3 I-Premise
( I-Premise
19.6 I-Premise
) I-Premise
";" I-Premise
CP I-Premise
= I-Premise
72.8 I-Premise
( I-Premise
17.4 I-Premise
) I-Premise
) I-Premise
. I-Premise

Regularly O
collecting O
patient-reported O
outcomes O
( O
PROs O
) O
of O
health-related O
quality O
of O
life O
with O
feedback O
to O
oncologists O
may O
assist O
in O
eliciting O
and O
monitoring O
patients O
' O
problems O
during O
cancer O
treatment O
. O

From O
January O
, O
2001 O
, O
until O
August O
, O
2005 O
, O
504 O
patients O
were O
randomly O
assigned O
to O
pamidronate O
30 O
mg O
or O
90 O
mg O
( O
252 O
in O
each O
group O
) O
. O

They B-Premise
deteriorated I-Premise
during I-Premise
follow-up I-Premise
in I-Premise
women I-Premise
not I-Premise
continuing I-Premise
ccHRT I-Premise
. I-Premise

Patients O
14 O
to O
70 O
years O
of O
age O
with O
newly O
diagnosed O
GBM O
and O
Karnofsky O
Performance O
Scale O
( O
KPS O
) O
score O
> O
70 O
who O
were O
receiving O
initial O
treatment O
were O
enrolled O
and O
were O
randomized O
into O
2 O
groups O
during O
the O
5-year O
study O
period O
. O

The B-Premise
proportion I-Premise
of I-Premise
patients I-Premise
without I-Premise
progression I-Premise
at I-Premise
2 I-Premise
years I-Premise
was I-Premise
not I-Premise
statistically I-Premise
significantly I-Premise
different I-Premise
between I-Premise
the I-Premise
two I-Premise
treatment I-Premise
arms I-Premise
( I-Premise
40.0 I-Premise
% I-Premise
for I-Premise
PT I-Premise
versus I-Premise
37.5 I-Premise
% I-Premise
for I-Premise
TC I-Premise
, I-Premise
difference I-Premise
= I-Premise
2.5 I-Premise
% I-Premise
, I-Premise
one-sided I-Premise
95 I-Premise
% I-Premise
confidence I-Premise
interval I-Premise
[ I-Premise
CI I-Premise
] I-Premise
= I-Premise
- I-Premise
infinity I-Premise
to I-Premise
8.2 I-Premise
% I-Premise
) I-Premise
. I-Premise

Health-Related O
Quality O
of O
Life O
[ O
RAND-36 O
and O
Rotterdam O
Symptom O
Check O
List O
( O
RSCL O
) O
] O
, O
exercise O
capacity O
( O
symptom O
limited O
bicycle O
ergometry O
) O
, O
muscle O
force O
( O
hand-held O
dynamometry O
) O
, O
and O
patient O
preferences O
. O

Costs O
associated O
with O
medical O
care O
resource O
use O
and O
quality-of-life O
adjustments O
were O
obtained O
from O
the O
published O
literature O
. O

Thirty-eight B-Premise
patients I-Premise
in I-Premise
the I-Premise
treatment I-Premise
group I-Premise
, I-Premise
and I-Premise
58 I-Premise
in I-Premise
the I-Premise
placebo I-Premise
group I-Premise
, I-Premise
suffered I-Premise
breakthrough I-Premise
pain I-Premise
on I-Premise
day I-Premise
3 I-Premise
( I-Premise
P I-Premise
< I-Premise
0·001 I-Premise
) I-Premise
. I-Premise

Mean O
scores O
of O
individual O
domains/scales O
of O
3D-CRT O
and O
IMRT O
were O
compared O
using O
't O
' O
test O
at O
each O
time O
point O
";" O
while O
longitudinal O
change O
in O
mean O
scores O
of O
both O
groups O
over O
time O
was O
evaluated O
by O
repeated O
measurement O
analysis O
of O
variance O
. O

A B-Premise
multivariate I-Premise
analysis I-Premise
found I-Premise
the I-Premise
use I-Premise
of I-Premise
breast I-Premise
IMRT I-Premise
( I-Premise
P I-Premise
= I-Premise
.003 I-Premise
) I-Premise
and I-Premise
smaller I-Premise
breast I-Premise
size I-Premise
( I-Premise
P I-Premise
< I-Premise
.001 I-Premise
) I-Premise
were I-Premise
significantly I-Premise
associated I-Premise
with I-Premise
a I-Premise
decreased I-Premise
risk I-Premise
of I-Premise
moist I-Premise
desquamation I-Premise
. I-Premise

Intraperitoneal B-Claim
administration I-Claim
limits I-Claim
cardiotoxicity I-Claim
of I-Claim
verapamil I-Claim
. I-Claim

A B-Premise
7 I-Premise
% I-Premise
response I-Premise
rate I-Premise
was I-Premise
observed I-Premise
with I-Premise
topotecan I-Premise
( I-Premise
complete I-Premise
response I-Premise
, I-Premise
2 I-Premise
% I-Premise
";" I-Premise
partial I-Premise
response I-Premise
, I-Premise
5 I-Premise
% I-Premise
) I-Premise
. I-Premise

Analgesic B-Premise
cost I-Premise
and I-Premise
hospital I-Premise
stay I-Premise
were I-Premise
significantly I-Premise
lower I-Premise
in I-Premise
treated I-Premise
groups I-Premise
than I-Premise
in I-Premise
the I-Premise
placebo I-Premise
group I-Premise
. I-Premise

This O
phase O
III O
study O
investigated O
the O
effect O
of O
combining O
oxaliplatin O
with O
LV5FU2 O
, O
with O
progression-free O
survival O
as O
the O
primary O
end O
point O
. O

Liposomal B-Premise
tretinoin I-Premise
is I-Premise
a I-Premise
new I-Premise
therapeutic I-Premise
agent I-Premise
that I-Premise
has I-Premise
been I-Premise
reported I-Premise
to I-Premise
have I-Premise
some I-Premise
clinical I-Premise
activity I-Premise
in I-Premise
patients I-Premise
