Les B-Premise
scores I-Premise
FACT-B I-Premise
ont I-Premise
augmenté I-Premise
après I-Premise
le I-Premise
début I-Premise
du I-Premise
traitement I-Premise
et I-Premise
sont I-Premise
restés I-Premise
significativement I-Premise
plus I-Premise
élevés I-Premise
dans I-Premise
le I-Premise
groupe I-Premise
tamoxifène I-Premise
que I-Premise
dans I-Premise
le I-Premise
groupe I-Premise
exémestane I-Premise
ou I-Premise
le I-Premise
groupe I-Premise
anastrozol I-Premise
au I-Premise
cours I-Premise
de I-Premise
la I-Premise
première I-Premise
année I-Premise
(P I-Premise
= I-Premise
0,045). I-Premise

Le O
RTOG O
89-01 O
a O
accumulé O
75 O
patients, O
dont O
73 O
étaient O
éligibles O
et O
analysables. O

Évaluer O
l' O
innocuité, O
la O
tolérance O
et O
l' O
efficacité O
d' O
abatacept O
chez O
les O
patients O
atteints O
de O
polyarthrite O
rhumatoïde O
(PR) O
qui O
ont O
échoué O
à O
un O
traitement O
par O
le O
facteur O
de O
nécrose O
antitumorale O
(TNF) O
et O
ont O
été O
passés O
à O
abatacept O
directement O
ou O
après O
un O
lavage O
complet. O

L' O
étude O
a O
été O
clôturée O
pour O
accumulation O
supplémentaire O
et O
tous O
les O
DPPE O
ont O
été O
interrompus. O

Les B-Premise
effets I-Premise
toxiques I-Premise
les I-Premise
plus I-Premise
fréquents I-Premise
ont I-Premise
été I-Premise
la I-Premise
diarrhée I-Premise
de I-Premise
grade I-Premise
3/4 I-Premise
(bras I-Premise
A: I-Premise
34%, I-Premise
B: I-Premise
19%) I-Premise
la I-Premise
neutropénie I-Premise
de I-Premise
grade I-Premise
3/4 I-Premise
(A: I-Premise
5%, I-Premise
B: I-Premise
19%) I-Premise
et I-Premise
l' I-Premise
alopécie I-Premise
de I-Premise
grade I-Premise
2/3 I-Premise
(A: I-Premise
26%, I-Premise
B: I-Premise
65%). I-Premise

Soixante-quinze O
patients O
ayant O
de O
bonnes O
performances O
ont O
participé O
à O
l' O
essai. O

La B-Claim
LLLT I-Claim
a I-Claim
été I-Claim
efficace I-Claim
pour I-Claim
améliorer I-Claim
l' I-Claim
expérience I-Claim
subjective I-Claim
de I-Claim
l' I-Claim
OM I-Claim
et I-Claim
de I-Claim
la I-Claim
QOL I-Claim
chez I-Claim
les I-Claim
patients I-Claim
HNC I-Claim
recevant I-Claim
une I-Claim
TCR. I-Claim

Une O
analyse O
intermédiaire O
a O
montré O
une O
futilité, O
et O
les O
résultats O
sont O
présentés O
avec O
un O
niveau O
alpha O
unilatéral O
ajusté O
de O
0,0429. O

Les B-Premise
patients I-Premise
du I-Premise
groupe I-Premise
NGT I-Premise
ont I-Premise
signalé I-Premise
des I-Premise
scores I-Premise
significativement I-Premise
meilleurs I-Premise
(P I-Premise
< I-Premise
0,05 I-Premise
) I-Premise
de I-Premise
la I-Premise
qualité I-Premise
de I-Premise
vie I-Premise
à I-Premise
6 I-Premise
mois I-Premise
et I-Premise
à I-Premise
1 I-Premise
an. I-Premise

Dans B-Premise
la I-Premise
comparaison I-Premise
entre I-Premise
-5 I-Premise
et I-Premise
3 I-Premise
jours, I-Premise
la I-Premise
FSP I-Premise
projetée I-Premise
sur I-Premise
2 I-Premise
ans I-Premise
est I-Premise
respectivement I-Premise
de I-Premise
88,8% I-Premise
et I-Premise
89,7% I-Premise
(différence, I-Premise
-0,9%, I-Premise
(80% I-Premise
CL, I-Premise
-4,1%, I-Premise
+2,2%). I-Premise

L' B-Claim
administration I-Claim
nocturne I-Claim
de I-Claim
granules I-Claim
de I-Claim
BCAA I-Claim
chez I-Claim
des I-Claim
patients I-Claim
atteints I-Claim
de I-Claim
cirrhose I-Claim
a I-Claim
réduit I-Claim
l' I-Claim
apparition I-Claim
de I-Claim
crampes I-Claim
musculaires I-Claim
dans I-Claim
la I-Claim
jambe I-Claim
mais I-Claim
n' I-Claim
a I-Claim
pas I-Claim
amélioré I-Claim
la I-Claim
qualité I-Claim
de I-Claim
vie I-Claim
des I-Claim
patients. I-Claim

Des B-Premise
réductions I-Premise
de I-Premise
dose I-Premise
ont I-Premise
été I-Premise
nécessaires I-Premise
chez I-Premise
10% I-Premise
des I-Premise
patients I-Premise
présentant I-Premise
une I-Premise
éruption I-Premise
cutanée I-Premise
et I-Premise
chez I-Premise
4% I-Premise
des I-Premise
patients I-Premise
présentant I-Premise
une I-Premise
diarrhée. I-Premise

La B-Claim
participation I-Claim
à I-Claim
un I-Claim
programme I-Claim
d' I-Claim
exercices I-Claim
du I-Claim
haut I-Claim
du I-Claim
corps I-Claim
n' I-Claim
a I-Claim
pas I-Claim
entraîné I-Claim
de I-Claim
changement I-Claim
dans I-Claim
la I-Claim
circonférence I-Claim
ou I-Claim
le I-Claim
volume I-Claim
du I-Claim
bras I-Claim
chez I-Claim
les I-Claim
femmes I-Claim
atteintes I-Claim
d' I-Claim
un I-Claim
lymphœdème I-Claim
après I-Claim
un I-Claim
cancer I-Claim
du I-Claim
sein, I-Claim
et I-Claim
elles I-Claim
ont I-Claim
peut-être I-Claim
connu I-Claim
une I-Claim
amélioration I-Claim
de I-Claim
la I-Claim
qualité I-Claim
de I-Claim
vie. I-Claim

Par B-Claim
rapport I-Claim
au I-Claim
schéma I-Claim
EP, I-Claim
le I-Claim
schéma I-Claim
PCDE I-Claim
a I-Claim
donné I-Claim
des I-Claim
taux I-Claim
de I-Claim
réponse I-Claim
plus I-Claim
élevés I-Claim
et I-Claim
de I-Claim
meilleurs I-Claim
taux I-Claim
de I-Claim
survie I-Claim
chez I-Claim
les I-Claim
patients I-Claim
atteints I-Claim
de I-Claim
CPCL I-Claim
extensif I-Claim
sans I-Claim
affecter I-Claim
la I-Claim
qualité I-Claim
de I-Claim
vie I-Claim
des I-Claim
patients I-Claim
pendant I-Claim
la I-Claim
chimiothérapie. I-Claim

Les B-Claim
schémas I-Claim
de I-Claim
chimiothérapie I-Claim
standard I-Claim
sont I-Claim
généralement I-Claim
considérés I-Claim
comme I-Claim
trop I-Claim
toxiques I-Claim
pour I-Claim
les I-Claim
patients I-Claim
âgés. I-Claim

